r,baseline25,baseline50,learning25,learning50
1.0,0.0,0.0,0.13333333333333333,0.0
1.2,0.0,0.0,0.4000000000000001,0.2
1.4,0.0,0.0,0.8666666666666668,0.9333333333333335
1.6,0.0,0.0,2.0,5.733333333333334
1.8,0.0,0.0,4.800000000000001,14.799999999999999
2.0,0.0,0.0,9.933333333333334,25.666666666666664
2.2,0.0,0.0,16.266666666666666,27.399999999999995
2.4,0.0,0.0,23.13333333333333,21.4
2.6,0.0,0.0,26.066666666666666,15.6
2.8,0.0,0.0,25.533333333333335,11.466666666666665
3.0,0.0,0.0,23.466666666666665,7.333333333333333
3.2,0.0,0.0,19.2,4.733333333333334
3.4,0.0,0.0,15.46666666666667,3.0
3.6,0.0,0.0,11.733333333333336,2.2
3.8,0.0,0.0,9.333333333333334,1.5333333333333337
4.0,0.0,0.0,7.200000000000001,1.3333333333333335
4.2,0.0,0.0,5.133333333333335,0.6666666666666667
4.4,0.0,0.0,4.266666666666667,0.5333333333333333
4.6,0.0,0.0,3.2,0.4
4.8,0.0,0.0,2.3333333333333335,0.26666666666666666
5.0,0.0,0.0,1.9333333333333333,0.13333333333333333
